School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Georgia,32,15,17,.469,5.31,6.09,9,9,12,6,3,8,1946,1971,62.4,95.9,.450,.338,.515,49.8,58.3,8.9,12.5,.469,19.8,32.1,.312
Gonzaga,35,32,3,.914,20.47,4.18,16,0,15,1,10,1,2696,2095,65.3,118.0,.402,.315,.585,53.3,55.2,12.1,8.2,.555,14.6,37.8,.283
Grambling,28,0,28,.000,-35.85,-9.17,0,18,0,9,0,18,1391,2138,65.6,75.7,.249,.319,.433,39.5,55.9,6.7,5.7,.411,23.4,28.4,.146
Green Bay,34,18,16,.529,1.67,-0.27,10,6,12,3,4,12,2247,2142,64.1,102.3,.398,.275,.533,51.3,58.6,9.2,14.0,.485,17.8,32.5,.299
Hampton,31,14,17,.452,-9.35,-7.84,11,5,7,7,7,8,1936,1983,68.9,89.2,.386,.296,.473,49.0,51.9,10.6,12.6,.431,20.5,34.1,.257
Hartford,31,17,14,.548,-5.84,-4.71,10,6,10,5,7,8,1863,1898,64.2,93.6,.307,.446,.515,43.8,59.2,12.7,5.9,.483,19.6,26.0,.214
Harvard,30,20,10,.667,3.95,0.16,11,3,13,1,6,8,2049,1924,63.8,105.6,.489,.337,.583,46.3,57.9,11.2,11.0,.542,18.5,26.0,.354
Hawaii,32,17,15,.531,-1.73,-2.37,10,8,12,7,4,7,2336,2305,69.7,104.3,.369,.308,.537,51.6,53.1,7.6,9.2,.505,17.5,36.0,.254
High Point,31,17,14,.548,-4.66,-7.25,12,4,10,5,6,8,2221,2052,67.4,105.5,.331,.240,.521,49.7,55.3,10.8,11.7,.485,15.0,35.4,.237
Hofstra,32,7,25,.219,-10.76,-1.92,4,14,6,9,1,14,1873,2132,64.9,89.4,.386,.283,.460,46.9,47.4,9.7,9.4,.424,18.5,34.2,.242
Holy Cross,30,12,18,.400,-6.14,-2.97,4,10,7,5,4,12,1834,1929,62.3,97.7,.300,.367,.516,47.4,56.8,6.2,10.0,.477,17.3,28.2,.226
Houston Baptist,31,14,17,.452,-15.17,-8.03,3,5,7,5,3,12,1982,2080,69.6,90.4,.365,.256,.491,47.7,49.0,9.8,6.8,.455,20.9,33.3,.242
Houston,33,20,13,.606,-0.30,-3.77,7,9,14,4,5,8,2578,2420,70.1,108.5,.398,.280,.552,50.1,54.8,9.3,9.4,.515,15.6,34.1,.282
Howard,31,7,24,.226,-14.42,-5.35,4,12,5,7,2,13,1615,1868,62.1,83.9,.356,.260,.441,47.2,48.1,10.2,10.0,.397,20.1,35.1,.236
Idaho State,30,6,24,.200,-12.98,-4.85,5,15,5,7,1,14,1710,1928,60.4,93.5,.380,.357,.502,42.5,52.3,11.4,10.7,.463,17.5,25.1,.258
