School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Dartmouth,27,7,20,.259,-11.11,-3.40,4,10,3,9,4,11,1812,2020,,68.2,97.9,.338,.386,.534,50.5,47.7,6.7,4.7,.499,19.1,27.8,.240,-12.97,99.2,112.1,66.9,+.032,-2.87,102.3,105.2,-4.46
Davidson,32,17,15,.531,6.61,4.42,8,10,8,5,5,7,2362,2292,,69.5,105.4,.315,.460,.552,49.6,61.3,7.3,8.5,.516,15.4,25.1,.238,+7.82,108.5,100.7,68.0,-.031,+4.66,106.9,102.3,+2.31
Dayton,32,24,8,.750,13.15,4.44,15,3,15,1,7,3,2428,2126,,69.4,108.8,.436,.381,.571,49.7,61.0,11.2,11.9,.538,15.0,25.6,.301,+15.67,112.3,96.6,68.2,-.011,+3.38,105.6,102.2,+2.89
DePaul,32,9,23,.281,2.20,7.89,2,16,8,10,1,9,2206,2388,,69.0,99.5,.356,.313,.523,49.0,47.2,9.6,8.8,.481,17.6,29.9,.262,-1.03,103.5,104.5,67.2,-.069,+7.28,108.8,101.5,-7.09
Delaware,33,13,20,.394,-9.88,-1.33,5,13,9,5,3,12,2157,2381,,66.2,98.4,.326,.350,.508,50.1,49.7,8.0,9.7,.475,15.9,27.4,.224,-11.09,97.3,108.4,64.4,+.089,+0.21,106.4,106.2,-2.93
Delaware State,32,10,22,.313,-18.70,-9.27,7,9,4,7,6,14,2186,2399,,68.5,98.6,.292,.390,.515,46.2,54.9,8.0,8.5,.490,17.1,29.3,.192,-19.85,94.3,114.1,65.3,+.007,-8.51,100.6,109.1,+3.87
Denver,30,16,14,.533,-2.81,-4.01,8,8,8,5,7,8,2275,2239,,69.0,109.0,.346,.330,.580,53.1,55.7,7.2,6.1,.548,17.1,28.8,.254,-1.54,107.5,109.1,66.3,-.007,-3.52,103.9,107.4,-5.14
Detroit Mercy,31,8,23,.258,-10.61,-1.51,6,12,5,9,3,13,2387,2630,,74.3,102.4,.384,.362,.541,47.1,48.0,8.7,6.9,.512,16.9,27.6,.255,-12.33,102.2,114.5,72.2,+.016,-1.22,103.7,104.9,+2.72
Drake,31,7,24,.226,-4.62,2.00,5,13,6,9,1,11,2208,2390,,70.0,100.5,.298,.421,.521,47.5,53.2,8.6,6.4,.482,15.5,26.9,.225,-8.20,103.0,111.2,69.0,-.083,+1.19,104.1,102.9,-3.42
Drexel,32,9,23,.281,-7.36,-2.49,3,15,5,8,4,14,2397,2508,,71.4,103.3,.311,.373,.526,49.8,54.3,8.1,8.1,.500,15.7,30.9,.207,-7.15,102.9,110.0,69.8,-.089,-0.96,104.6,105.5,-3.59
Duke,37,28,9,.757,21.58,10.93,11,7,15,1,4,6,2991,2597,,69.9,115.6,.393,.383,.588,51.9,47.4,8.7,10.7,.548,14.2,31.4,.299,+25.09,121.0,95.9,67.6,+.027,+12.38,111.5,99.1,+0.05
