School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Old Dominion,31,24,7,.774,7.92,-0.73,13,5,17,0,7,7,2026,1758,0,741,1698,.436,184,555,.332,360,534,.674,382,1111,413,198,103,337,543,61.0,106.3,.314,.327,.519,54.0,55.7,10.4,9.0,.491,14.8,36.0,.212,.7480,105.0,95.5,60.4,+.037,.4508,101.2,103.0,.4723
Oral Roberts,32,18,14,.563,-4.14,-2.30,10,6,11,2,7,12,2208,2170,0,743,1743,.426,183,529,.346,539,754,.715,348,1100,346,194,120,381,596,66.2,103.4,.433,.303,.525,50.1,46.6,9.1,9.9,.479,15.5,31.0,.309,.3999,102.7,106.4,65.4,+.097,.4560,100.4,102.0,.5895
Oregon,34,25,9,.735,11.33,7.30,13,5,18,3,7,6,2569,2405,0,937,2031,.461,248,688,.360,447,588,.760,359,1236,484,195,147,401,623,68.2,109.2,.290,.339,.556,51.0,51.7,8.3,10.9,.522,14.9,31.2,.220,.7975,113.4,100.6,66.5,+.127,.6532,105.5,99.9,.4316
Oregon State,31,17,14,.548,6.26,5.30,8,10,15,2,2,12,1887,1834,0,665,1577,.422,160,495,.323,397,573,.693,293,973,373,241,123,365,590,62.1,97.7,.363,.314,.510,48.2,56.1,12.5,11.4,.472,16.6,29.0,.252,.6069,96.8,93.3,61.1,+.014,.6002,104.8,101.2,.3211
Pacific,31,12,19,.387,-2.61,3.89,4,14,6,10,6,9,1996,2115,0,681,1633,.417,202,584,.346,432,667,.648,385,1076,363,125,74,391,667,62.0,102.5,.408,.358,.512,52.0,53.3,6.4,7.1,.479,16.9,35.6,.265,.3373,100.4,106.5,61.9,+.052,.5901,104.8,101.5,.4508
Penn State,34,18,16,.529,8.08,7.40,4,14,11,7,7,9,2273,2250,0,795,1893,.420,227,679,.334,456,656,.695,354,1201,336,206,138,414,692,65.8,100.1,.347,.359,.516,49.7,42.3,9.1,11.4,.480,15.9,29.7,.241,.6748,102.2,95.9,65.9,+.005,.6456,105.2,99.8,.3732
Pennsylvania,28,9,19,.321,-8.15,-1.19,4,10,4,9,5,10,1687,1882,0,599,1379,.434,155,448,.346,334,495,.675,258,886,329,153,67,419,557,63.1,95.0,.359,.325,.523,50.4,54.9,8.6,7.2,.491,20.8,29.6,.242,.2447,96.1,106.0,63.4,+.023,.5029,101.6,101.5,.4843
Pepperdine,31,18,13,.581,5.22,3.56,10,8,11,6,7,7,1975,1910,0,688,1612,.427,141,450,.313,458,613,.747,295,1040,415,190,105,386,552,64.2,99.2,.380,.279,.519,49.5,60.3,9.5,9.0,.471,17.0,29.5,.284,.6274,99.1,94.7,63.6,+.009,.5685,104.3,101.9,.3824
Pittsburgh,34,19,15,.559,8.70,7.61,8,10,14,5,5,10,2279,2230,0,835,1866,.447,164,484,.339,445,650,.685,407,1136,561,168,95,336,606,61.2,108.4,.348,.259,.524,51.5,67.2,8.0,6.9,.491,13.5,35.5,.238,.6788,111.3,104.2,61.3,+.012,.6512,105.4,99.8,.4258
Portland,32,17,15,.531,3.99,3.36,7,11,10,7,7,8,2249,2180,0,787,1771,.444,211,553,.382,464,648,.716,374,1139,472,184,142,390,591,64.7,106.9,.366,.312,.541,52.8,60.0,8.7,11.7,.504,15.9,35.0,.262,.5870,107.1,103.9,64.6,-.026,.5668,104.5,102.1,.3906
Portland State,29,15,14,.517,-7.81,-4.92,9,9,9,5,6,9,2083,2098,0,723,1645,.440,193,507,.381,444,598,.742,283,942,381,183,117,324,511,67.2,106.3,.364,.308,.540,47.7,52.7,9.3,10.3,.498,14.5,28.1,.270,.3010,100.8,108.5,66.3,+.071,.3874,102.4,106.6,.5513
Prairie View,33,15,18,.455,-10.61,-7.95,12,6,7,5,8,13,2211,2280,0,822,1923,.427,177,532,.333,390,604,.646,390,1072,354,287,105,471,716,69.2,96.8,.314,.277,.500,45.8,43.1,12.6,7.5,.473,17.7,32.3,.203,.2183,96.3,107.6,69.3,+.013,.3336,97.5,103.5,.7379
Presbyterian,32,10,22,.313,-16.39,-4.64,6,12,7,8,3,14,1978,2214,0,741,1656,.447,136,425,.320,360,546,.659,296,1029,341,166,90,415,507,63.2,97.7,.330,.257,.516,49.1,46.0,8.2,7.3,.489,18.0,29.5,.217,.1461,95.6,111.5,62.6,-.005,.4291,102.3,104.9,.6015
