School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Duke,39,35,4,.897,32.18,11.98,13,3,13,2,9,1,3538,2750,117.8,.396,.418,.588,50.7,57.6,13.7,10.5,.561,15.0,37.0,.275
Duquesne,30,9,21,.300,-3.14,3.96,3,13,7,6,0,12,2116,2329,98.2,.423,.265,.531,49.1,45.0,9.1,5.5,.490,20.3,34.0,.295
East Carolina,28,14,14,.500,-4.24,-3.16,6,10,10,3,3,11,2018,2044,100.9,.406,.413,.528,49.2,54.0,8.3,4.2,.482,16.8,28.6,.294
East Tennessee State,28,18,10,.643,-3.04,-6.12,13,3,11,2,7,7,2034,1825,100.7,.423,.284,.517,53.1,51.6,13.8,8.7,.491,19.0,38.6,.261
Eastern Illinois,31,21,10,.677,0.99,-2.46,11,5,13,0,5,9,2564,2439,111.0,.337,.302,.572,49.6,56.2,8.5,7.9,.533,16.0,32.9,.261
Eastern Kentucky,26,7,19,.269,-13.60,-2.73,1,15,6,7,1,12,1895,2099,95.7,.365,.295,.501,49.0,49.5,8.9,9.0,.472,19.3,35.5,.231
Eastern Michigan,28,3,25,.107,-11.40,-0.76,1,17,3,11,0,14,1672,1970,91.1,.386,.324,.503,46.2,53.0,7.2,6.8,.472,20.7,27.9,.247
Eastern Washington,28,17,11,.607,0.05,-0.76,11,5,8,4,7,7,2010,1925,102.5,.507,.246,.573,49.2,62.8,10.9,5.0,.526,21.0,29.8,.370
Elon,29,9,20,.310,-17.92,-9.17,4,10,7,5,1,14,1873,2064,96.1,.347,.345,.528,47.0,49.5,10.1,8.7,.495,20.9,30.8,.239
Evansville,30,14,16,.467,-1.68,1.77,9,9,10,4,4,9,2066,2146,101.0,.389,.316,.575,47.0,70.3,7.3,5.7,.545,20.2,24.4,.273
Fairfield,28,12,16,.429,-6.43,-3.51,8,10,5,5,6,9,2069,2151,100.1,.456,.252,.524,51.9,51.7,10.8,10.0,.472,19.2,37.0,.329
Fairleigh Dickinson,28,13,15,.464,-11.42,-8.45,10,10,7,4,6,10,1919,2002,99.0,.439,.386,.523,49.3,56.7,10.9,6.1,.499,19.6,33.8,.265
Florida A&M,28,6,22,.214,-22.79,-10.22,4,14,5,9,1,12,1876,2230,90.9,.463,.338,.492,47.2,46.7,11.4,9.5,.450,22.2,37.0,.300
Florida Atlantic,31,7,24,.226,-16.07,-3.79,5,13,3,10,3,12,2119,2519,93.3,.294,.317,.482,49.6,54.4,8.7,5.2,.448,19.6,36.8,.203
Florida International,29,8,21,.276,-9.16,-0.70,5,11,5,10,2,10,1727,1947,95.6,.366,.302,.509,45.7,41.9,9.7,2.6,.470,18.6,29.1,.256
Florida State,30,9,21,.300,3.20,10.99,4,12,6,10,2,8,2085,2289,98.8,.388,.267,.506,50.8,52.4,8.8,8.6,.469,17.9,36.2,.260
Florida,31,24,7,.774,21.32,7.51,12,4,14,2,8,3,2509,2081,111.4,.431,.379,.590,51.7,63.4,12.0,9.4,.554,17.5,30.9,.315
Fordham,29,12,17,.414,0.60,5.32,4,12,8,6,2,10,2148,2287,98.7,.331,.344,.503,48.7,55.4,12.0,9.4,.471,18.0,36.1,.222
Fresno State,33,26,7,.788,15.66,5.14,13,3,17,1,6,4,2689,2342,109.8,.391,.334,.559,50.7,62.1,13.5,15.3,.529,18.6,34.6,.266
Furman,26,10,16,.385,-7.70,-6.02,5,11,6,6,4,10,1730,1725,99.5,.329,.316,.508,48.7,55.1,10.3,7.3,.480,16.6,32.5,.214
George Mason,30,18,12,.600,5.12,-0.35,11,5,10,1,6,9,2127,1963,103.3,.371,.257,.530,50.3,52.4,12.2,11.4,.501,17.6,34.5,.245
George Washington,32,14,18,.438,8.37,6.30,6,10,9,6,2,9,2470,2404,105.1,.409,.342,.521,50.2,50.8,10.9,8.6,.477,16.3,37.5,.291
Georgetown,33,25,8,.758,12.07,1.58,10,6,13,3,7,3,2574,2228,105.3,.386,.265,.514,55.7,59.2,13.3,14.8,.481,18.0,45.3,.255
Georgia Southern,30,15,15,.500,-6.58,-5.50,9,7,8,4,5,10,2296,2261,102.4,.342,.275,.518,51.6,48.3,10.3,6.4,.487,17.3,37.6,.229
